crime_code,crime_code_desc,mocodes,all_crime_codes
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0411 1243 1813 0913 0334 0421 0445 2034 0416,236
330,BURGLARY FROM VEHICLE,1403 1414 1307 0344 0329 0345 0209,330
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0910 0400 1202 2047 1822,230
510,VEHICLE - STOLEN,,510
888,TRESPASSING,2004 1300 1402,"888, 998"
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1307 0329,740
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032 1822 0377,341
440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344 0910,440
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2021 0910 1218 0346 1822,341
624,BATTERY - SIMPLE ASSAULT,1218 0416 1822,624
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1310,745
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,442
755,BOMB SCARE,0404 1822 2040,755
510,VEHICLE - STOLEN,,510
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0445 1822 1402 1414 0345,"230, 998"
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0445 1822 1402 0345 1414,"230, 998"
437,RESISTING ARREST,400,437
330,BURGLARY FROM VEHICLE,0344 1307 0329 1609 1822,330
480,BIKE - STOLEN,0344 0397 1822 1259,480
886,DISTURBING THE PEACE,2021 0361,886
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 2032,341
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,745
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0429 0448 1414,626
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218 2004 1822 0319 1414,230
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1251 0448,626
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 2004 0910,740
210,ROBBERY,1822 0416 0344 1218 0371 0377 1414,210
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,440
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,341
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0400,626
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
624,BATTERY - SIMPLE ASSAULT,0416 0910 1822,624
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0344 1300 0385,331
753,DISCHARGE FIREARMS/SHOTS FIRED,1414 1407 1822 1100,753
928,THREATENING PHONE CALLS/LETTERS,0359 0421 1814 0602 0913,928
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0913 1258 0558,"812, 860"
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
624,BATTERY - SIMPLE ASSAULT,0416 1822 0429,624
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,331
624,BATTERY - SIMPLE ASSAULT,0416 0305 1822,624
440,THEFT PLAIN - PETTY ($950 & UNDER),1218 2060 2034 0344 0377 1822,440
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 1402 1020 1307 0329,"740, 998"
624,BATTERY - SIMPLE ASSAULT,2050 2052 2034 0416 0910 1822,624
860,BATTERY WITH SEXUAL CONTACT,0522 1822 0448,860
220,ATTEMPTED ROBBERY,0400 1822,220
330,BURGLARY FROM VEHICLE,0344 1609 1307 1822 0329,330
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 1221,341
946,OTHER MISCELLANEOUS CRIME,0901 0910,946
310,BURGLARY,0344 1606 1822,310
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1822,442
440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1218 0344 2032,440
330,BURGLARY FROM VEHICLE,1307 0344 0352,330
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0377 1402,"420, 998"
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1218 1822 2032,341
210,ROBBERY,2003 1268 2004 2001 0344 2002 0913 1019 0421 1221,210
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0910 0344 2032,341
440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0910 0344,440
330,BURGLARY FROM VEHICLE,1609 0344,330
330,BURGLARY FROM VEHICLE,1605 1300 1822 0344,330
624,BATTERY - SIMPLE ASSAULT,0913 0562 0400 0416,624
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
860,BATTERY WITH SEXUAL CONTACT,0400 0305 1822,860
860,BATTERY WITH SEXUAL CONTACT,0416 1822 0500,860
860,BATTERY WITH SEXUAL CONTACT,0416 1822,860
860,BATTERY WITH SEXUAL CONTACT,0416 0305 1822,860
350,"THEFT, PERSON",0400 0344 1822 2004,350
761,BRANDISH WEAPON,0334 0421 1822,761
753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1402,"753, 998"
480,BIKE - STOLEN,0344 0910 0397 1602 1822 1414,480
210,ROBBERY,0416 2004 1822 1414 0945 1266 0344,210
624,BATTERY - SIMPLE ASSAULT,0416 0400 1822 2004 0417,624
510,VEHICLE - STOLEN,,510
910,KIDNAPPING,0418 1822 1309 0429 1305 1000,910
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1300 1822 0344 1606,420
210,ROBBERY,0377 0420 1822 1218 0305 0344,210
330,BURGLARY FROM VEHICLE,1307 1822 0329 1414 1609 0344,330
440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0377 2034 0344,440
624,BATTERY - SIMPLE ASSAULT,431,624
624,BATTERY - SIMPLE ASSAULT,0416 0417 0444 1218 1822,624
510,VEHICLE - STOLEN,,510
440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0377 1202 0344,440
440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0377 0344,440
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1607 1822 1414 0325,343
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0377 1822 1300 0344 1606,420
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,626
310,BURGLARY,1822 1609 0321 1420,310
900,VIOLATION OF COURT ORDER,2038 2000 0913 1906 1813,900
330,BURGLARY FROM VEHICLE,1307 0329 1822 1609 0344,330
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,740
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0913,956
760,LEWD/LASCIVIOUS ACTS WITH CHILD,0552 0501 0913 0522,760
510,VEHICLE - STOLEN,,510
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1912,956
220,ATTEMPTED ROBBERY,0913 1309 0416 0448,220
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
624,BATTERY - SIMPLE ASSAULT,0400 1822,624
624,BATTERY - SIMPLE ASSAULT,1822 0416,624
330,BURGLARY FROM VEHICLE,1307 1822 0329 0344 1609,330
623,BATTERY POLICE (SIMPLE),0417 1822 1212,623
330,BURGLARY FROM VEHICLE,0344 1601 0321,330
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),344,420
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1601 0321,420
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,341
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 0421 0913,930
210,ROBBERY,0344 0355 1218 1822 0444 1268,210
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,740
210,ROBBERY,0416 0429 2004 1822 0444 0344,210
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
648,ARSON,1501,648
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1268 1218 2004 0431,230
762,LEWD CONDUCT,0528 0529 0910,762
510,VEHICLE - STOLEN,,510
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,442
510,VEHICLE - STOLEN,,510
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
888,TRESPASSING,0910 1501 2004,888
330,BURGLARY FROM VEHICLE,1307 0329 1822 1609 0344,330
440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,440
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0602 0913 1251 1258 0400 0500 0522 2034 0556,"812, 860"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,442
480,BIKE - STOLEN,0397 0344,480
330,BURGLARY FROM VEHICLE,1609 0344,330
624,BATTERY - SIMPLE ASSAULT,0416 1822 1266 2004,624
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432 0443 0913,930
440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0377 1822 0344,440
440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822 0344,440
860,BATTERY WITH SEXUAL CONTACT,1822 0448,860
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0432 0913 1243 1813 2000 0447,236
946,OTHER MISCELLANEOUS CRIME,,"946, 998"
330,BURGLARY FROM VEHICLE,1307 0329 1822 1609 0344,330
310,BURGLARY,0344 1822 0397 1602,310
624,BATTERY - SIMPLE ASSAULT,0416 1218 2004,624
440,THEFT PLAIN - PETTY ($950 & UNDER),0913 1820 0344 1202,440
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,740
310,BURGLARY,1607 0344 1822 1414 1602,310
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
350,"THEFT, PERSON",2004 0344,350
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2034,440
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1822 2032 0325,343
815,SEXUAL PENETRATION W/FOREIGN OBJECT,0532 0515 1218 2004 0913,815
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
310,BURGLARY,1822 1607 0344,310
510,VEHICLE - STOLEN,,510
210,ROBBERY,1309 0416 0429 0344 1822,210
350,"THEFT, PERSON",0345 1822 0344 1308,350
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,845
330,BURGLARY FROM VEHICLE,1822 1300 1606 0344,330
624,BATTERY - SIMPLE ASSAULT,0913 0416,624
354,THEFT OF IDENTITY,1822 1501 0930 2004,354
661,UNAUTHORIZED COMPUTER ACCESS,1904 1914 1822 1911,661
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 1606,331
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0419 0913,626
330,BURGLARY FROM VEHICLE,1307 0329 1822 1609 0344,330
480,BIKE - STOLEN,0344 0346 1822,480
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 1609 1822,740
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1813,626
625,OTHER ASSAULT,0356 2004 1266 1822,625
626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 1414 2000 1814,626
440,THEFT PLAIN - PETTY ($950 & UNDER),0377 1822 1218 2032 0344,440
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822,420
121,"RAPE, FORCIBLE",0527 0913 0940 0509 2002 0540 0513 0516 0551 1814,121
860,BATTERY WITH SEXUAL CONTACT,1822 0522 0305 0400 0448 1402 1414,860
860,BATTERY WITH SEXUAL CONTACT,1402 1414 0400 0522 1822 0305 0448,860
510,VEHICLE - STOLEN,,510
761,BRANDISH WEAPON,0334 1402 2004 2003 1822,"761, 998"
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 1218 0421 0319,230
624,BATTERY - SIMPLE ASSAULT,0305 0416 1822 1218,624
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0910 2004 1307,745
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 2041,956
351,PURSE SNATCHING,0377 1822 0304 0346,351
220,ATTEMPTED ROBBERY,1202 1822 1218 1238 0337 0416 0448,220
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1310 1309 0329 0919 0447,745
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1243 1814 0447,236
860,BATTERY WITH SEXUAL CONTACT,1822 0448 0522,860
510,VEHICLE - STOLEN,,510
480,BIKE - STOLEN,1218 1822 0344 0397,480
440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344,440
440,THEFT PLAIN - PETTY ($950 & UNDER),1822 1218 0377 0913 1817 0344,440
310,BURGLARY,1822 0397 0344,310
624,BATTERY - SIMPLE ASSAULT,0446 0416,624
343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0104 0342,343
330,BURGLARY FROM VEHICLE,1822 0344 1300,330
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,740
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 2032 0344,341
330,BURGLARY FROM VEHICLE,0344 0329 1609 1307 1601 0354,330
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822 1414 2032,341
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2004 0411 1822 0906 2033 1206,230
330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329 1266,330
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,626
330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,330
510,VEHICLE - STOLEN,,510
480,BIKE - STOLEN,0344 0910 1822 2032,480
331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0321 0344 1300,331
510,VEHICLE - STOLEN,,510
624,BATTERY - SIMPLE ASSAULT,0416 0444,624
330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,330
761,BRANDISH WEAPON,0334 1822 0429 2029 0344,761
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0417 1501 1218 2033 1822,821
510,VEHICLE - STOLEN,,510
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0947 0344 1218 1822,341
210,ROBBERY,0344 0400 1822 2004 0910,210
330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822 0377,330
440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344 1822,440
310,BURGLARY,0344 1822,310
900,VIOLATION OF COURT ORDER,1501,900
310,BURGLARY,0344 1414 1822,"310, 998"
762,LEWD CONDUCT,1218 1414 0340 0528,762
330,BURGLARY FROM VEHICLE,1202 1822 1609 1307 0344 0329,330
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2028 1822,442
668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1803 0601 0913,668
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,442
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004 0378,442
510,VEHICLE - STOLEN,,510
210,ROBBERY,1414 1402 1218 0344 0416 0913 1313,"210, 998"
210,ROBBERY,1822 0945 0378 0344 0443 0444 2004,210
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,440
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,745
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,740
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,341
330,BURGLARY FROM VEHICLE,0344 1609 0321,330
330,BURGLARY FROM VEHICLE,1302 1307 0344,330
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1309,740
210,ROBBERY,0340 0334 0302 0355 0344 0377 1822,210
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1309,740
237,CHILD NEGLECT (SEE 300 W.I.C.),0553 1257 2001,237
624,BATTERY - SIMPLE ASSAULT,1822 1218 0416 0417 2002 0319 0445,624
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0445 2002 1206 1822 0416 1234,230
624,BATTERY - SIMPLE ASSAULT,0444 1822 0421 1266,624
761,BRANDISH WEAPON,0334 1822,761
624,BATTERY - SIMPLE ASSAULT,0416 0429 1822,624
624,BATTERY - SIMPLE ASSAULT,0416 1822 0344,624
624,BATTERY - SIMPLE ASSAULT,0416 1822 0344,624
624,BATTERY - SIMPLE ASSAULT,0416 1822 0344,624
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2004 1822 1218,440
310,BURGLARY,0344 1609 1822,310
624,BATTERY - SIMPLE ASSAULT,1822 0444,624
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913 1420,740
624,BATTERY - SIMPLE ASSAULT,0416 0429 0910 2047 0448 2048 1822,624
330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 1822,330
330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 1822,330
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 2004 1218 0416 0421 1206,930
354,THEFT OF IDENTITY,0377 0910 1822,354
210,ROBBERY,1822 0416,210
510,VEHICLE - STOLEN,,510
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1310 0340 0919 0445 0329 1822,230
624,BATTERY - SIMPLE ASSAULT,0416 0917 0913,624
121,"RAPE, FORCIBLE",1402 1415 1206 1219 0520 0527 1822 0522 0510 0409,"121, 998"
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1817 0443 1912,930
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2004 0329,740
624,BATTERY - SIMPLE ASSAULT,1402 2004 0917 0913 0444 0416,"624, 998"
624,BATTERY - SIMPLE ASSAULT,416,624
210,ROBBERY,1218 2004 0416 0344 1202 1822,210
624,BATTERY - SIMPLE ASSAULT,1218 0416 0913,624
480,BIKE - STOLEN,0344 0400 1822 1608,480
510,VEHICLE - STOLEN,,510
310,BURGLARY,0344 0397 0329 1602 1822,"310, 480"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0378,442
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0917 1266 2028 0378 0429 0416 1414 1822,"230, 998"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0378,442
860,BATTERY WITH SEXUAL CONTACT,1402 0522 0305,"860, 998"
510,VEHICLE - STOLEN,,510
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,341
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1300 0329 1501,745
330,BURGLARY FROM VEHICLE,1307 1609 0344 0329 1822,330
624,BATTERY - SIMPLE ASSAULT,0416 1822 1414,624
330,BURGLARY FROM VEHICLE,1300 0344,330
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 2004 0913,930
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 2004 0913,930
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,442
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,442
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0305 1822 1218 1212,230
648,ARSON,,648
310,BURGLARY,0344 1607,310
121,"RAPE, FORCIBLE",0527 0519 0913 1814,121
330,BURGLARY FROM VEHICLE,0344 1605 1822 1300,330
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,341
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,341
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,341
330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,330
330,BURGLARY FROM VEHICLE,1300 0344 1609 1307,330
480,BIKE - STOLEN,0344 1608 1822,480
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032 1822 0394,440
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,440
946,OTHER MISCELLANEOUS CRIME,0910 2004 1822,946
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1822,740
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1822,440
888,TRESPASSING,1501 2004,888
626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 2000 0401 0416,626
330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 1822 0377,330
510,VEHICLE - STOLEN,,510
664,"BUNCO, PETTY THEFT",0344 0800 0701 1900 1916 1822,664
662,"BUNCO, GRAND THEFT",0701 0800 0344,662
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1606 0344 0917 1822,341
901,VIOLATION OF RESTRAINING ORDER,2038,901
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2028 1414 0913,442
510,VEHICLE - STOLEN,,510
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 2000 1218 0913 1402 0408 2004 1814,"236, 998"
624,BATTERY - SIMPLE ASSAULT,0305 0444 0361 0913,624
624,BATTERY - SIMPLE ASSAULT,1802 0913 0319 0416 1309,624
440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 2032 1822 0377,440
900,VIOLATION OF COURT ORDER,1402 2038,"900, 998"
330,BURGLARY FROM VEHICLE,344,330
624,BATTERY - SIMPLE ASSAULT,0416 1822 1266,624
888,TRESPASSING,2004 1501,888
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 1251 1258 0913 0558,"812, 860"
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004 0378,442
440,THEFT PLAIN - PETTY ($950 & UNDER),0324 1402,"440, 998"
624,BATTERY - SIMPLE ASSAULT,0429 0444 1822,624
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
624,BATTERY - SIMPLE ASSAULT,0416 1822 0417,624
330,BURGLARY FROM VEHICLE,1307 1609 0344 0329 1822,330
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,740
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2024 1815 0421 0432 1251 1259 0913 0342 1912,930
210,ROBBERY,0344 0416 0444 0429 1822 1414 0377,210
350,"THEFT, PERSON",0344 0305 0345 1822,350
625,OTHER ASSAULT,0356 1822 1000,625
350,"THEFT, PERSON",0336 0346 1822 0910,350
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1307 1822,745
440,THEFT PLAIN - PETTY ($950 & UNDER),0605 1822 0344 0377 1202,440
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032 1822,341
440,THEFT PLAIN - PETTY ($950 & UNDER),0910 0344 2032 1822,440
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,740
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,442
330,BURGLARY FROM VEHICLE,0329 1822 1307 1609 0344,330
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,740
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,740
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1414 0421 1903 1912 1822,956
330,BURGLARY FROM VEHICLE,0344 1302 0329,330
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,341
626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1814 0416 0447,626
888,TRESPASSING,1822,888
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,845
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1501 1822,341
330,BURGLARY FROM VEHICLE,0344 1822 0329 1307 1609 1414,330
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325 1822 2028,442
330,BURGLARY FROM VEHICLE,0344 1414 0329 1822 1307 1609,330
624,BATTERY - SIMPLE ASSAULT,0416 1822,624
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0344,442
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2003 0561 0913 0602 1202 1402 0416,"230, 998"
624,BATTERY - SIMPLE ASSAULT,0416 1822 0910 1202,624
946,OTHER MISCELLANEOUS CRIME,1501,946
330,BURGLARY FROM VEHICLE,0344 1307 1609 0329 1822,330
753,DISCHARGE FIREARMS/SHOTS FIRED,1501 1822 0329 1414 1100,753
330,BURGLARY FROM VEHICLE,1606 0352 0344 1822,330
330,BURGLARY FROM VEHICLE,0344 1307 1609 0329 1822,330
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0554 0446,930
350,"THEFT, PERSON",0336 0344,350
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0432 0421 0913,930
210,ROBBERY,0913 1218 2004 0344 1402 0907 0443 2034 2060,"210, 998"
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0305 0431 1822 0334,230
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,420
956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 0337,956
236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1414 0907 1402 2004 1218 0416 0401 2000 0913,"236, 998"
903,CONTEMPT OF COURT,1501,903
624,BATTERY - SIMPLE ASSAULT,1814 0913 1601 0416,624
510,VEHICLE - STOLEN,,510
649,DOCUMENT FORGERY / STOLEN FELONY,1822 0100 0923,649
930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 2000 0443 2004 1813 1309,930
354,THEFT OF IDENTITY,0930 1822,354
510,VEHICLE - STOLEN,,510
900,VIOLATION OF COURT ORDER,1501,900
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,442
